volume,symbol,adj_close,high,low,date,close,open
34686700,AAPL,113.550003,113.989998,112.440002,2016-09-21,113.550003,113.849998
34514300,AAPL,113.57,114.120003,112.510002,2016-09-20,113.57,113.050003
47023000,AAPL,113.580002,116.18,113.25,2016-09-19,113.580002,115.190002
79886900,AAPL,114.919998,116.129997,114.040001,2016-09-16,114.919998,115.120003
89983600,AAPL,115.57,115.730003,113.489998,2016-09-15,115.57,113.860001
110888700,AAPL,111.769997,113.029999,108.599998,2016-09-14,111.769997,108.730003
62176200,AAPL,107.949997,108.790001,107.239998,2016-09-13,107.949997,107.510002
45292800,AAPL,105.440002,105.720001,102.529999,2016-09-12,105.440002,102.650002
46557000,AAPL,103.129997,105.720001,103.129997,2016-09-09,103.129997,104.639999
53002000,AAPL,105.519997,107.269997,105.239998,2016-09-08,105.519997,107.25
42364300,AAPL,108.360001,108.760002,107.07,2016-09-07,108.360001,107.830002
26880400,AAPL,107.699997,108.300003,107.510002,2016-09-06,107.699997,107.900002
26802500,AAPL,107.730003,108.00,106.82,2016-09-02,107.730003,107.699997
26701500,AAPL,106.730003,106.800003,105.620003,2016-09-01,106.730003,106.139999
29662400,AAPL,106.099998,106.57,105.639999,2016-08-31,106.099998,105.660004
24863900,AAPL,106.00,106.50,105.50,2016-08-30,106.00,105.800003
24970300,AAPL,106.82,107.440002,106.290001,2016-08-29,106.82,106.620003
27766300,AAPL,106.940002,107.949997,106.309998,2016-08-26,106.940002,107.410004
25086200,AAPL,107.57,107.879997,106.68,2016-08-25,107.57,107.389999
23675100,AAPL,108.029999,108.75,107.68,2016-08-24,108.029999,108.57
21257700,AAPL,108.849998,109.32,108.529999,2016-08-23,108.849998,108.589996
25820200,AAPL,108.510002,109.099998,107.849998,2016-08-22,108.510002,108.860001
25368100,AAPL,109.360001,109.690002,108.360001,2016-08-19,109.360001,108.769997
21984700,AAPL,109.080002,109.599998,109.019997,2016-08-18,109.080002,109.230003
25356000,AAPL,109.220001,109.370003,108.339996,2016-08-17,109.220001,109.099998
33794400,AAPL,109.379997,110.230003,109.209999,2016-08-16,109.379997,109.629997
25868200,AAPL,109.480003,109.540001,108.080002,2016-08-15,109.480003,108.139999
18660400,AAPL,108.18,108.440002,107.779999,2016-08-12,108.18,107.779999
27484500,AAPL,107.93,108.93,107.849998,2016-08-11,107.93,108.519997
24008500,AAPL,108.00,108.900002,107.760002,2016-08-10,108.00,108.709999
26315200,AAPL,108.809998,108.940002,108.010002,2016-08-09,108.809998,108.230003
28037200,AAPL,108.370003,108.370003,107.160004,2016-08-08,108.370003,107.519997
40553400,AAPL,107.480003,107.650002,106.18,2016-08-05,107.480003,106.269997
27408700,AAPL,105.870003,106.00,105.279999,2016-08-04,105.870003,105.580002
30202600,AAPL,105.220002,105.839996,104.769997,2016-08-03,105.790001,104.809998
33816600,AAPL,103.917063,106.07,104.00,2016-08-02,104.480003,106.050003
38167900,AAPL,105.478603,106.150002,104.410004,2016-08-01,106.050003,104.410004
27733700,AAPL,103.648513,104.550003,103.68,2016-07-29,104.209999,104.190002
39869800,AAPL,103.77781,104.449997,102.82,2016-07-28,104.339996,102.830002
