volume,symbol,adj_close,high,low,date,close,open
117244500,BAC,15.65,15.73,15.17,2016-09-30,15.65,15.26
78997700,BAC,15.16,15.50,15.06,2016-09-29,15.16,15.38
66076400,BAC,15.38,15.39,15.15,2016-09-28,15.38,15.36
81992600,BAC,15.29,15.34,14.81,2016-09-27,15.29,15.01
94972100,BAC,15.09,15.44,15.02,2016-09-26,15.09,15.40
51604400,BAC,15.52,15.67,15.50,2016-09-23,15.52,15.53
75611300,BAC,15.60,15.71,15.50,2016-09-22,15.60,15.69
95464600,BAC,15.65,15.83,15.39,2016-09-21,15.65,15.71
68210400,BAC,15.60,15.76,15.51,2016-09-20,15.60,15.74
66186400,BAC,15.59,15.78,15.55,2016-09-19,15.59,15.55
90926200,BAC,15.49,15.68,15.48,2016-09-16,15.49,15.66
67322600,BAC,15.67,15.75,15.58,2016-09-15,15.67,15.64
75528100,BAC,15.63,15.84,15.56,2016-09-14,15.63,15.67
89317600,BAC,15.72,15.86,15.55,2016-09-13,15.72,15.67
109724000,BAC,15.90,15.94,15.48,2016-09-12,15.90,15.65
135182500,BAC,15.74,16.15,15.74,2016-09-09,15.74,15.91
69292700,BAC,15.86,15.94,15.68,2016-09-08,15.86,15.77
63310300,BAC,15.70,15.85,15.65,2016-09-07,15.70,15.72
96542200,BAC,15.78,16.059999,15.70,2016-09-06,15.78,16.049999
100997300,BAC,16.00,16.059999,15.82,2016-09-02,16.00,15.94
128812600,BAC,15.98,16.15,15.75,2016-09-01,15.98,16.15
127664300,BAC,16.139999,16.24,15.88,2016-08-31,16.139999,16.209999
121280600,BAC,16.115001,16.23,15.80,2016-08-30,16.190001,15.84
120144900,BAC,15.766622,16.01,15.78,2016-08-29,15.84,15.81
126886300,BAC,15.716853,15.90,15.58,2016-08-26,15.79,15.61
67714400,BAC,15.458057,15.54,15.40,2016-08-25,15.53,15.42
65484900,BAC,15.32866,15.50,15.36,2016-08-24,15.40,15.37
67817900,BAC,15.278892,15.41,15.26,2016-08-23,15.35,15.26
60877100,BAC,15.109679,15.25,15.12,2016-08-22,15.18,15.20
59834800,BAC,15.149494,15.25,15.05,2016-08-19,15.22,15.13
62804300,BAC,15.089772,15.24,15.06,2016-08-18,15.16,15.11
93407300,BAC,15.079818,15.24,15.08,2016-08-17,15.15,15.16
80307500,BAC,15.099725,15.19,14.93,2016-08-16,15.17,14.97
48592100,BAC,14.950421,15.03,14.95,2016-08-15,15.02,14.97
63031300,BAC,14.84093,14.91,14.70,2016-08-12,14.91,14.77
68945400,BAC,14.811069,14.97,14.75,2016-08-11,14.88,14.83
79080700,BAC,14.741393,15.18,14.78,2016-08-10,14.81,15.16
49973300,BAC,15.119632,15.19,15.07,2016-08-09,15.19,15.11
71960300,BAC,15.059911,15.17,14.92,2016-08-08,15.13,15.08
120947800,BAC,14.980281,15.06,14.75,2016-08-05,15.05,14.75
46176600,BAC,14.412921,14.54,14.36,2016-08-04,14.48,14.48
65305400,BAC,14.412921,14.48,14.10,2016-08-03,14.48,14.11
83776300,BAC,14.064543,14.45,14.09,2016-08-02,14.13,14.28
61460900,BAC,14.263617,14.60,14.26,2016-08-01,14.33,14.52
63276500,BAC,14.422875,14.70,14.48,2016-07-29,14.49,14.56
72049500,BAC,14.611996,14.69,14.46,2016-07-28,14.68,14.57
100986000,BAC,14.562227,14.70,14.45,2016-07-27,14.63,14.57
60205600,BAC,14.46269,14.55,14.31,2016-07-26,14.53,14.32
46420800,BAC,14.303431,14.39,14.28,2016-07-25,14.37,14.31
46604800,BAC,14.313385,14.40,14.18,2016-07-22,14.38,14.26
65376300,BAC,14.203895,14.47,14.26,2016-07-21,14.27,14.43
79277900,BAC,14.333292,14.43,14.26,2016-07-20,14.40,14.35
96940100,BAC,14.193941,14.37,14.03,2016-07-19,14.26,14.06
187187100,BAC,14.044635,14.23,13.82,2016-07-18,14.11,13.84
78652500,BAC,13.59672,13.79,13.52,2016-07-15,13.66,13.78
97852100,BAC,13.586766,13.78,13.64,2016-07-14,13.65,13.73
74595600,BAC,13.377739,13.58,13.32,2016-07-13,13.44,13.50
89070600,BAC,13.477276,13.60,13.40,2016-07-12,13.54,13.41
67267300,BAC,13.148805,13.40,13.20,2016-07-11,13.21,13.29
92698900,BAC,13.10899,13.32,13.11,2016-07-08,13.17,13.28
101100300,BAC,12.949732,13.11,12.84,2016-07-07,13.01,12.87
94983300,BAC,12.800426,12.92,12.45,2016-07-06,12.86,12.52
98246500,BAC,12.680982,12.94,12.63,2016-07-05,12.74,12.93
88888100,BAC,13.039315,13.27,13.02,2016-07-01,13.10,13.19
125773900,BAC,13.208528,13.38,13.07,2016-06-30,13.27,13.37
118484000,BAC,13.128897,13.22,12.92,2016-06-29,13.19,13.07
150136300,BAC,12.641167,12.72,12.35,2016-06-28,12.70,12.57
250847700,BAC,12.123577,12.77,12.05,2016-06-27,12.18,12.77
231499200,BAC,12.939778,13.44,12.97,2016-06-24,13.00,13.05
82494600,BAC,13.97496,14.05,13.82,2016-06-23,14.04,13.84
77980500,BAC,13.546952,13.78,13.59,2016-06-22,13.61,13.60
73810800,BAC,13.556906,13.65,13.45,2016-06-21,13.62,13.62
89874000,BAC,13.477276,13.85,13.51,2016-06-20,13.54,13.74
89022300,BAC,13.337924,13.53,13.28,2016-06-17,13.40,13.38
90152000,BAC,13.248342,13.33,13.02,2016-06-16,13.31,13.23
100659100,BAC,13.278203,13.66,13.28,2016-06-15,13.34,13.38
85377800,BAC,13.198574,13.73,13.17,2016-06-14,13.26,13.56
74851700,BAC,13.536999,13.91,13.58,2016-06-13,13.60,13.64
90725700,BAC,13.765933,14.00,13.75,2016-06-10,13.83,13.98
74814900,BAC,14.124265,14.32,14.08,2016-06-09,14.19,14.32
58292900,BAC,14.363154,14.46,14.30,2016-06-08,14.43,14.35
67447100,BAC,14.283524,14.60,14.34,2016-06-07,14.35,14.54
80949300,BAC,14.452737,14.70,14.37,2016-06-06,14.52,14.44
148600900,BAC,14.3532,14.50,14.19,2016-06-03,14.42,14.46
64327300,BAC,14.87079,14.98,14.77,2016-06-02,14.94,14.95
62612100,BAC,14.791161,14.90,14.45,2016-06-01,14.86,14.60
85635900,BAC,14.671717,15.05,14.73,2016-05-31,14.79,15.03
62411300,BAC,14.760997,14.88,14.69,2016-05-27,14.88,14.76
65356600,BAC,14.582436,14.99,14.69,2016-05-26,14.70,14.98
123498700,BAC,14.800677,15.15,14.83,2016-05-25,14.92,14.83
96183700,BAC,14.562597,14.75,14.53,2016-05-24,14.68,14.60
66303200,BAC,14.354276,14.60,14.40,2016-05-23,14.47,14.54
81214000,BAC,14.403877,14.70,14.43,2016-05-20,14.52,14.64
106156900,BAC,14.413796,14.87,14.43,2016-05-19,14.53,14.60
151871700,BAC,14.572516,14.75,14.01,2016-05-18,14.69,14.02
76273800,BAC,13.897955,14.13,13.82,2016-05-17,14.01,13.89
57848600,BAC,13.818595,14.02,13.80,2016-05-16,13.93,13.82
86193900,BAC,13.768995,14.37,13.87,2016-05-13,13.88,14.15
72567100,BAC,14.026916,14.47,14.05,2016-05-12,14.14,14.30
68088900,BAC,14.086435,14.50,14.19,2016-05-11,14.20,14.25
59870500,BAC,14.185636,14.33,14.05,2016-05-10,14.30,14.08
55399600,BAC,13.878115,14.19,13.91,2016-05-09,13.99,14.08
76595100,BAC,13.997155,14.14,13.80,2016-05-06,14.11,13.83
73145900,BAC,13.937635,14.32,14.00,2016-05-05,14.05,14.15
99269700,BAC,14.016995,14.27,14.00,2016-05-04,14.13,14.09
110549000,BAC,14.245155,14.51,14.15,2016-05-03,14.36,14.51
68882800,BAC,14.651877,14.78,14.40,2016-05-02,14.77,14.58
122128100,BAC,14.443557,14.85,14.43,2016-04-29,14.56,14.73
78639300,BAC,14.671717,15.08,14.76,2016-04-28,14.79,14.92
115789000,BAC,14.899878,15.30,14.98,2016-04-27,15.02,15.02
84812400,BAC,14.969318,15.14,14.80,2016-04-26,15.09,15.02
70489500,BAC,14.840357,15.14,14.81,2016-04-25,14.96,15.02
83456600,BAC,14.989157,15.14,14.87,2016-04-22,15.11,14.87
121589000,BAC,14.780837,15.14,14.75,2016-04-21,14.90,14.93
115628700,BAC,14.810597,14.94,14.53,2016-04-20,14.93,14.56
107153600,BAC,14.334436,14.54,14.24,2016-04-19,14.45,14.26
81998200,BAC,14.056675,14.24,13.82,2016-04-18,14.17,13.85
87958700,BAC,13.888035,14.29,13.95,2016-04-15,14.00,14.27
179383300,BAC,14.026916,14.28,13.70,2016-04-14,14.14,13.71
138647200,BAC,13.679714,13.85,13.53,2016-04-13,13.79,13.55
100791600,BAC,13.163873,13.33,12.93,2016-04-12,13.27,13.00
79411500,BAC,12.866273,13.09,12.88,2016-04-11,12.97,12.92
76548100,BAC,12.776992,13.14,12.86,2016-04-08,12.88,13.03
105704500,BAC,12.747232,13.21,12.75,2016-04-07,12.85,13.15
62558500,BAC,13.163873,13.30,13.11,2016-04-06,13.27,13.20
78445900,BAC,13.084512,13.34,13.16,2016-04-05,13.19,13.30
59709600,BAC,13.401954,13.65,13.41,2016-04-04,13.51,13.54
73130900,BAC,13.451554,13.65,13.32,2016-04-01,13.56,13.47
79592100,BAC,13.411874,13.71,13.45,2016-03-31,13.52,13.49
85897000,BAC,13.372193,13.66,13.46,2016-03-30,13.48,13.49
101606800,BAC,13.312673,13.54,13.26,2016-03-29,13.42,13.54
54498500,BAC,13.511074,13.74,13.54,2016-03-28,13.62,13.73
94836500,BAC,13.570594,13.69,13.27,2016-03-24,13.68,13.41
95789700,BAC,13.511074,13.83,13.60,2016-03-23,13.62,13.77
83252100,BAC,13.649954,13.84,13.63,2016-03-22,13.76,13.67
104695700,BAC,13.729315,14.03,13.72,2016-03-21,13.84,13.80
146616200,BAC,13.679714,13.88,13.55,2016-03-18,13.79,13.68
122212300,BAC,13.292833,13.48,13.05,2016-03-17,13.40,13.22
149645400,BAC,13.203554,13.81,13.09,2016-03-16,13.31,13.51
80404000,BAC,13.461473,13.60,13.39,2016-03-15,13.57,13.51
87746800,BAC,13.530914,13.74,13.49,2016-03-14,13.64,13.72
120400600,BAC,13.679714,13.84,13.37,2016-03-11,13.79,13.44
123532800,BAC,13.163873,13.40,13.00,2016-03-10,13.27,13.23
92253800,BAC,13.034913,13.27,13.00,2016-03-09,13.14,13.17
125894800,BAC,12.955553,13.47,13.05,2016-03-08,13.06,13.40
97650300,BAC,13.421793,13.62,13.37,2016-03-07,13.53,13.45
171410900,BAC,13.431714,13.89,13.49,2016-03-04,13.54,13.76
105082700,BAC,13.392034,13.55,13.25,2016-03-03,13.50,13.38
139622500,BAC,13.302753,13.51,13.13,2016-03-02,13.41,13.20
153558200,BAC,13.034913,13.21,12.62,2016-03-01,13.19,12.64
123661100,BAC,12.372791,12.86,12.51,2016-02-29,12.52,12.70
160314400,BAC,12.550674,12.95,12.40,2016-02-26,12.70,12.49
103054600,BAC,12.175142,12.33,12.09,2016-02-25,12.32,12.14
159552800,BAC,11.987377,12.15,11.65,2016-02-24,12.13,11.96
104498700,BAC,12.017024,12.48,12.10,2016-02-23,12.16,12.47
88865500,BAC,12.392556,12.54,12.13,2016-02-22,12.54,12.13
121045600,BAC,11.987377,12.24,11.98,2016-02-19,12.13,12.22
161539400,BAC,12.096083,12.74,12.10,2016-02-18,12.24,12.71
221859400,BAC,12.412321,12.69,12.47,2016-02-17,12.56,12.57
194306700,BAC,12.105966,12.39,12.11,2016-02-16,12.25,12.38
245388400,BAC,11.809493,12.03,11.40,2016-02-12,11.95,11.48
375088700,BAC,11.028782,11.55,10.99,2016-02-11,11.16,11.46
227530000,BAC,11.83914,12.54,11.91,2016-02-10,11.98,12.42
247349000,BAC,12.056553,12.43,11.96,2016-02-09,12.20,11.99
221363600,BAC,12.125731,12.70,12.13,2016-02-08,12.27,12.67
125842800,BAC,12.797735,13.39,12.89,2016-02-05,12.95,13.32
179394400,BAC,13.094208,13.59,12.89,2016-02-04,13.25,12.89
257664600,BAC,12.876794,13.29,12.52,2016-02-03,13.03,13.28
147101200,BAC,13.074442,13.75,13.13,2016-02-02,13.23,13.74
105739400,BAC,13.79586,14.09,13.80,2016-02-01,13.96,14.05
159984100,BAC,13.973743,14.15,13.59,2016-01-29,14.14,13.66
110996200,BAC,13.370915,13.71,13.26,2016-01-28,13.53,13.59
124095800,BAC,13.202914,13.73,13.19,2016-01-27,13.36,13.20
124246900,BAC,13.153503,13.35,13.04,2016-01-26,13.31,13.07
186419100,BAC,12.807618,13.55,12.94,2016-01-25,12.96,13.54
169999800,BAC,13.400563,13.72,13.47,2016-01-22,13.56,13.65
188976000,BAC,13.202914,13.84,13.25,2016-01-21,13.36,13.67
250537600,BAC,13.529034,14.00,13.27,2016-01-20,13.69,13.79
185727400,BAC,14.072567,14.79,14.01,2016-01-19,14.24,14.69
172296100,BAC,14.289981,14.66,14.13,2016-01-15,14.46,14.41
125920000,BAC,14.813749,15.20,14.65,2016-01-14,14.99,15.01
119413000,BAC,14.724807,15.52,14.85,2016-01-13,14.90,15.47
100023500,BAC,15.129987,15.58,15.06,2016-01-12,15.31,15.54
104611700,BAC,15.129987,15.37,14.94,2016-01-11,15.31,15.26
124782400,BAC,15.02128,15.94,15.16,2016-01-08,15.20,15.94
116255900,BAC,15.317752,15.90,15.44,2016-01-07,15.50,15.73
102760800,BAC,15.890933,16.290001,16.02,2016-01-06,16.08,16.190001
66670000,BAC,16.236818,16.59,16.23,2016-01-05,16.43,16.52
114888000,BAC,16.236818,16.49,16.25,2016-01-04,16.43,16.450001
47153000,BAC,16.632114,17.07,16.83,2015-12-31,16.83,17.01
35066400,BAC,16.849527,17.24,17.040001,2015-12-30,17.049999,17.200001
45670400,BAC,17.076824,17.35,17.16,2015-12-29,17.280001,17.25
41777500,BAC,16.928586,17.23,16.98,2015-12-28,17.129999,17.219999
29373400,BAC,17.066941,17.379999,17.219999,2015-12-24,17.27,17.32
65770700,BAC,17.136118,17.34,17.10,2015-12-23,17.34,17.16
56173500,BAC,16.879175,17.110001,16.85,2015-12-22,17.08,17.049999
65150300,BAC,16.770468,17.030001,16.77,2015-12-21,16.969999,16.98
136737800,BAC,16.562938,17.27,16.76,2015-12-18,16.76,17.190001
97265700,BAC,17.096587,17.83,17.299999,2015-12-17,17.299999,17.799999
171576700,BAC,17.541297,17.780001,17.23,2015-12-16,17.75,17.65
99289600,BAC,17.215177,17.49,16.99,2015-12-15,17.42,17.02
121121200,BAC,16.602466,16.889999,16.50,2015-12-14,16.799999,16.76
91503900,BAC,16.53329,17.059999,16.639999,2015-12-11,16.73,16.969999
68395000,BAC,16.997765,17.41,16.959999,2015-12-10,17.200001,17.15
82418100,BAC,16.89894,17.379999,16.870001,2015-12-09,17.10,17.110001
84873500,BAC,16.987882,17.459999,17.129999,2015-12-08,17.190001,17.389999
81633300,BAC,17.333767,17.799999,17.440001,2015-12-07,17.540001,17.790001
103021700,BAC,17.590708,17.83,17.379999,2015-12-04,17.799999,17.440001
95810100,BAC,17.096587,17.77,17.25,2015-12-03,17.299999,17.68
76919000,BAC,17.412826,17.889999,17.549999,2015-12-02,17.620001,17.879999
74351800,BAC,17.551179,17.809999,17.48,2015-12-01,17.809999,17.52
61893700,BAC,17.176702,17.58,17.42,2015-11-30,17.43,17.48
22937500,BAC,17.225974,17.50,17.33,2015-11-27,17.48,17.459999
34939000,BAC,17.186557,17.57,17.41,2015-11-25,17.440001,17.51
58724200,BAC,17.21612,17.57,17.25,2015-11-24,17.469999,17.26
50362900,BAC,17.21612,17.73,17.459999,2015-11-23,17.469999,17.620001
56288300,BAC,17.393504,17.83,17.59,2015-11-20,17.65,17.809999
51829700,BAC,17.432924,17.85,17.620001,2015-11-19,17.690001,17.780001
85708300,BAC,17.580743,17.870001,17.43,2015-11-18,17.84,17.43
70488600,BAC,17.166847,17.60,17.34,2015-11-17,17.42,17.50
70384300,BAC,17.176702,17.459999,17.01,2015-11-16,17.43,17.129999
103574900,BAC,16.950045,17.309999,17.09,2015-11-13,17.200001,17.129999
77850900,BAC,17.117574,17.629999,17.35,2015-11-12,17.370001,17.58
59235000,BAC,17.492051,17.99,17.68,2015-11-11,17.75,17.99
59905800,BAC,17.590598,17.940001,17.559999,2015-11-10,17.85,17.629999
129920700,BAC,17.423069,18.08,17.559999,2015-11-09,17.68,18.030001
158037500,BAC,17.689145,18.09,17.76,2015-11-06,17.950001,17.84
85505500,BAC,17.058445,17.370001,17.030001,2015-11-05,17.309999,17.030001
78728400,BAC,16.762805,17.309999,16.959999,2015-11-04,17.01,17.299999
66127100,BAC,16.930335,17.26,16.99,2015-11-03,17.18,17.01
56948200,BAC,16.812078,17.139999,16.870001,2015-11-02,17.059999,16.90
87645800,BAC,16.536148,17.18,16.76,2015-10-30,16.780001,17.18
95542300,BAC,16.841643,17.440001,16.969999,2015-10-29,17.09,17.16
147720100,BAC,17.028882,17.309999,16.450001,2015-10-28,17.280001,16.450001
56159300,BAC,16.161669,16.469999,16.299999,2015-10-27,16.40,16.40
67702800,BAC,16.270071,16.549999,16.34,2015-10-26,16.51,16.52
82285800,BAC,16.279926,16.549999,16.25,2015-10-23,16.52,16.290001
74116600,BAC,15.925157,16.200001,16.00,2015-10-22,16.16,16.00
64440400,BAC,15.668936,16.290001,15.90,2015-10-21,15.90,16.26
50797800,BAC,15.964577,16.290001,16.10,2015-10-20,16.200001,16.16
62953500,BAC,15.905448,16.209999,15.98,2015-10-19,16.139999,16.00
66791000,BAC,15.88574,16.290001,16.030001,2015-10-16,16.120001,16.290001
127028800,BAC,15.954722,16.280001,15.72,2015-10-15,16.190001,15.81
122272400,BAC,15.412715,15.92,15.55,2015-10-14,15.64,15.77
73689800,BAC,15.294459,15.59,15.40,2015-10-13,15.52,15.45
50725800,BAC,15.294459,15.62,15.43,2015-10-12,15.52,15.60
76667100,BAC,15.353586,15.82,15.50,2015-10-09,15.58,15.75
79056900,BAC,15.521116,15.78,15.51,2015-10-08,15.75,15.72
66655600,BAC,15.521116,15.93,15.57,2015-10-07,15.75,15.78
67473700,BAC,15.461987,15.82,15.57,2015-10-06,15.69,15.68
75315300,BAC,15.461987,15.79,15.44,2015-10-05,15.69,15.45
181838400,BAC,15.156493,15.38,14.63,2015-10-02,15.38,15.08
71516800,BAC,15.324022,15.64,15.36,2015-10-01,15.55,15.52
71347100,BAC,15.353586,15.60,15.32,2015-09-30,15.58,15.55
79829400,BAC,15.126929,15.53,15.25,2015-09-29,15.35,15.50
91324300,BAC,15.245185,15.82,15.38,2015-09-28,15.47,15.79
88655000,BAC,15.659082,16.02,15.81,2015-09-25,15.89,15.88
99520100,BAC,15.324022,15.62,15.40,2015-09-24,15.55,15.54
78117500,BAC,15.491552,15.85,15.58,2015-09-23,15.72,15.60
92235200,BAC,15.343731,15.58,15.45,2015-09-22,15.57,15.49
79096200,BAC,15.471842,15.75,15.57,2015-09-21,15.70,15.67
136531200,BAC,15.333877,15.71,15.50,2015-09-18,15.56,15.68
119088200,BAC,15.629517,16.48,15.78,2015-09-17,15.86,16.290001
83776400,BAC,16.092687,16.389999,16.09,2015-09-16,16.33,16.35
62327100,BAC,16.072977,16.389999,16.01,2015-09-15,16.309999,16.040001
50640900,BAC,15.728064,16.07,15.90,2015-09-14,15.96,15.97
54287700,BAC,15.806902,16.059999,15.90,2015-09-11,16.040001,15.99
71110200,BAC,15.806902,16.110001,15.81,2015-09-10,16.040001,15.87
70466100,BAC,15.668936,16.459999,15.83,2015-09-09,15.90,16.370001
73960200,BAC,15.925157,16.16,15.90,2015-09-08,16.16,15.96
104539500,BAC,15.422569,15.86,15.50,2015-09-04,15.65,15.79
77175800,BAC,15.708354,16.190001,15.87,2015-09-03,15.94,15.97
74820400,BAC,15.619663,15.86,15.57,2015-09-02,15.85,15.82
119064000,BAC,15.304313,16.049999,15.46,2015-09-01,15.58,15.95
66695200,BAC,16.050865,16.379999,16.18,2015-08-31,16.34,16.33
75899300,BAC,16.070511,16.440001,16.200001,2015-08-28,16.360001,16.40
