volume,symbol,adj_close,high,low,date,close,open
4198600,BRK-B,144.470001,145.380005,144.270004,2016-09-30,144.470001,144.270004
3230300,BRK-B,143.589996,145.520004,143.360001,2016-09-29,143.589996,145.179993
3213400,BRK-B,145.279999,145.419998,144.029999,2016-09-28,145.279999,145.279999
2914700,BRK-B,145.339996,145.380005,144.009995,2016-09-27,145.339996,144.279999
2722300,BRK-B,144.179993,144.960007,144.00,2016-09-26,144.179993,144.520004
3545200,BRK-B,145.00,146.490005,145.00,2016-09-23,145.00,146.300003
2764700,BRK-B,146.529999,147.089996,146.130005,2016-09-22,146.529999,146.75
3616800,BRK-B,146.460007,146.490005,144.979996,2016-09-21,146.460007,145.649994
2364400,BRK-B,144.919998,145.979996,144.759995,2016-09-20,144.919998,145.979996
3013500,BRK-B,145.240005,146.190002,144.929993,2016-09-19,145.240005,145.339996
10954500,BRK-B,145.009995,146.229996,144.679993,2016-09-16,145.009995,146.110001
3255500,BRK-B,146.660004,147.080002,145.470001,2016-09-15,146.660004,146.00
3065300,BRK-B,145.779999,146.910004,145.330002,2016-09-14,145.779999,146.020004
5417400,BRK-B,146.229996,148.130005,145.550003,2016-09-13,146.229996,147.949997
4148500,BRK-B,148.970001,149.389999,145.940002,2016-09-12,148.970001,146.369995
4144800,BRK-B,146.619995,149.589996,146.559998,2016-09-09,146.619995,149.100006
2750300,BRK-B,149.779999,150.100006,149.300003,2016-09-08,149.779999,149.600006
2429300,BRK-B,149.580002,150.490005,149.339996,2016-09-07,149.580002,150.00
4454700,BRK-B,150.429993,150.979996,149.309998,2016-09-06,150.429993,150.539993
2247600,BRK-B,150.720001,151.050003,149.970001,2016-09-02,150.720001,150.690002
2999000,BRK-B,150.350006,151.00,148.820007,2016-09-01,150.350006,150.699997
5334000,BRK-B,150.490005,150.899994,148.660004,2016-08-31,150.490005,150.00
2832200,BRK-B,150.229996,150.240005,149.229996,2016-08-30,150.229996,149.25
2685600,BRK-B,149.300003,149.679993,148.00,2016-08-29,149.300003,148.229996
2865300,BRK-B,147.910004,149.229996,147.220001,2016-08-26,147.910004,148.649994
2439600,BRK-B,148.639999,148.710007,148.110001,2016-08-25,148.639999,148.240005
2264300,BRK-B,148.410004,148.839996,148.130005,2016-08-24,148.410004,148.50
2019100,BRK-B,148.770004,149.240005,148.580002,2016-08-23,148.770004,148.580002
1765000,BRK-B,148.449997,148.800003,147.850006,2016-08-22,148.449997,148.509995
2638000,BRK-B,148.75,148.839996,147.789993,2016-08-19,148.75,148.399994
2184100,BRK-B,148.809998,149.360001,148.529999,2016-08-18,148.809998,149.190002
3039600,BRK-B,149.080002,149.330002,147.00,2016-08-17,149.080002,147.419998
2087500,BRK-B,147.240005,147.949997,147.220001,2016-08-16,147.240005,147.619995
2195800,BRK-B,147.779999,147.919998,147.119995,2016-08-15,147.779999,147.720001
2575600,BRK-B,147.720001,147.75,146.690002,2016-08-12,147.720001,147.119995
3243000,BRK-B,147.740005,147.979996,146.440002,2016-08-11,147.740005,146.460007
2445700,BRK-B,146.690002,147.270004,146.130005,2016-08-10,146.690002,147.00
3676700,BRK-B,147.220001,147.449997,145.449997,2016-08-09,147.220001,145.960007
3516300,BRK-B,145.559998,145.649994,144.229996,2016-08-08,145.559998,145.289993
3926000,BRK-B,145.649994,145.649994,143.919998,2016-08-05,145.649994,144.00
1848600,BRK-B,143.119995,143.910004,142.919998,2016-08-04,143.119995,143.800003
2217100,BRK-B,143.630005,143.880005,142.979996,2016-08-03,143.630005,143.350006
2457000,BRK-B,143.309998,143.990005,142.960007,2016-08-02,143.309998,143.949997
2051300,BRK-B,143.929993,144.770004,143.580002,2016-08-01,143.929993,144.619995
2589300,BRK-B,144.270004,144.600006,143.779999,2016-07-29,144.270004,144.089996
1944600,BRK-B,144.419998,144.690002,143.479996,2016-07-28,144.419998,143.919998
2611700,BRK-B,144.190002,144.75,143.699997,2016-07-27,144.190002,144.270004
2466400,BRK-B,144.339996,144.850006,143.830002,2016-07-26,144.339996,144.339996
2483900,BRK-B,144.139999,145.00,143.600006,2016-07-25,144.139999,144.869995
3142000,BRK-B,144.600006,144.850006,143.889999,2016-07-22,144.600006,144.720001
3212200,BRK-B,144.350006,146.220001,144.190002,2016-07-21,144.350006,146.009995
2855300,BRK-B,146.169998,146.940002,145.699997,2016-07-20,146.169998,146.809998
3543300,BRK-B,146.919998,146.990005,145.850006,2016-07-19,146.919998,146.059998
3128000,BRK-B,146.570007,146.710007,146.00,2016-07-18,146.570007,146.00
3860800,BRK-B,145.970001,146.440002,145.119995,2016-07-15,145.970001,146.25
3322200,BRK-B,145.729996,146.660004,145.460007,2016-07-14,145.729996,146.25
3274500,BRK-B,145.929993,145.990005,144.410004,2016-07-13,145.929993,144.880005
3158100,BRK-B,144.669998,145.029999,143.979996,2016-07-12,144.669998,144.529999
3194200,BRK-B,143.929993,144.229996,143.429993,2016-07-11,143.929993,143.75
3718100,BRK-B,143.649994,143.740005,142.720001,2016-07-08,143.649994,143.350006
2863600,BRK-B,141.910004,143.039993,141.190002,2016-07-07,141.910004,142.380005
2804700,BRK-B,142.509995,142.639999,140.949997,2016-07-06,142.509995,141.899994
3426300,BRK-B,142.229996,143.559998,141.759995,2016-07-05,142.229996,143.190002
2874400,BRK-B,143.960007,144.830002,143.75,2016-07-01,143.960007,144.589996
5196400,BRK-B,144.789993,144.820007,142.100006,2016-06-30,144.789993,142.210007
4257100,BRK-B,142.119995,142.119995,139.910004,2016-06-29,142.119995,141.300003
5312300,BRK-B,140.279999,140.360001,138.289993,2016-06-28,140.279999,139.789993
6328200,BRK-B,138.50,139.00,136.649994,2016-06-27,138.50,138.789993
12476300,BRK-B,139.710007,142.00,139.470001,2016-06-24,139.710007,140.740005
4493600,BRK-B,145.979996,146.00,144.600006,2016-06-23,145.979996,144.970001
3659700,BRK-B,143.940002,144.660004,143.570007,2016-06-22,143.940002,143.630005
3677400,BRK-B,143.529999,143.630005,141.850006,2016-06-21,143.529999,142.059998
4038700,BRK-B,141.669998,142.940002,141.630005,2016-06-20,141.669998,141.960007
5394100,BRK-B,140.729996,142.00,140.449997,2016-06-17,140.729996,141.979996
3639800,BRK-B,141.990005,142.050003,138.960007,2016-06-16,141.990005,140.089996
3219700,BRK-B,140.449997,142.169998,140.320007,2016-06-15,140.449997,141.740005
3476000,BRK-B,141.300003,141.550003,140.509995,2016-06-14,141.300003,140.789993
2994600,BRK-B,140.940002,142.649994,140.940002,2016-06-13,140.940002,141.229996
2579800,BRK-B,141.759995,142.360001,141.240005,2016-06-10,141.759995,141.309998
2187000,BRK-B,142.229996,142.509995,141.160004,2016-06-09,142.229996,142.050003
2390600,BRK-B,142.529999,142.690002,141.529999,2016-06-08,142.529999,141.570007
2729800,BRK-B,141.410004,142.490005,141.389999,2016-06-07,141.410004,142.160004
2686300,BRK-B,141.820007,142.50,141.389999,2016-06-06,141.820007,141.619995
3153300,BRK-B,141.139999,141.520004,140.110001,2016-06-03,141.139999,141.160004
2757300,BRK-B,142.110001,142.110001,140.960007,2016-06-02,142.110001,141.649994
3278000,BRK-B,141.990005,142.089996,140.369995,2016-06-01,141.990005,140.970001
6564700,BRK-B,140.539993,144.139999,140.539993,2016-05-31,140.539993,143.889999
2289900,BRK-B,143.350006,143.619995,142.770004,2016-05-27,143.350006,143.490005
2742000,BRK-B,143.050003,144.190002,142.880005,2016-05-26,143.050003,144.00
2933900,BRK-B,144.080002,144.940002,143.720001,2016-05-25,144.080002,143.720001
3268800,BRK-B,143.710007,144.050003,141.729996,2016-05-24,143.710007,141.949997
