volume,symbol,adj_close,high,low,date,close,open
13996600,FB,129.940002,130.009995,128.389999,2016-09-21,129.940002,129.130005
11066800,FB,128.639999,129.169998,128.029999,2016-09-20,128.639999,128.649994
14919800,FB,128.649994,129.940002,128.259995,2016-09-19,128.649994,129.910004
23835300,FB,129.070007,129.179993,128.199997,2016-09-16,129.070007,128.199997
15077200,FB,128.350006,129.100006,127.669998,2016-09-15,128.350006,127.980003
15691100,FB,127.769997,128.800003,126.889999,2016-09-14,127.769997,126.889999
17923600,FB,127.209999,128.350006,126.660004,2016-09-13,127.209999,128.029999
20904700,FB,128.690002,128.759995,125.75,2016-09-12,128.690002,125.959999
26772700,FB,127.099998,129.949997,127.099998,2016-09-09,127.099998,129.710007
15553200,FB,130.270004,131.080002,129.809998,2016-09-08,130.270004,130.919998
27922500,FB,131.050003,131.979996,129.949997,2016-09-07,131.050003,130.039993
26208500,FB,129.729996,129.940002,126.470001,2016-09-06,129.729996,126.669998
12059700,FB,126.510002,126.860001,126.00,2016-09-02,126.510002,126.849998
13507800,FB,126.169998,126.629997,125.599998,2016-09-01,126.169998,126.379997
14157400,FB,126.120003,126.220001,125.099998,2016-08-31,126.120003,125.599998
17772000,FB,125.839996,126.599998,125.150002,2016-08-30,125.839996,126.599998
15815600,FB,126.540001,126.730003,124.349998,2016-08-29,126.540001,124.349998
17434000,FB,124.959999,125.190002,123.910004,2016-08-26,124.959999,124.050003
10700900,FB,123.889999,124.370003,123.099998,2016-08-25,123.889999,123.120003
12214200,FB,123.480003,124.690002,123.089996,2016-08-24,123.480003,124.470001
13289400,FB,124.370003,125.089996,124.25,2016-08-23,124.370003,124.510002
14337700,FB,124.150002,124.830002,123.110001,2016-08-22,124.150002,123.330002
11570400,FB,123.559998,124.160004,123.279999,2016-08-19,123.559998,123.599998
12360000,FB,123.910004,124.260002,123.639999,2016-08-18,123.910004,124.010002
13742300,FB,124.370003,124.379997,122.849998,2016-08-17,124.370003,123.660004
14185900,FB,123.300003,123.919998,122.779999,2016-08-16,123.300003,123.50
19241200,FB,123.900002,124.919998,123.699997,2016-08-15,123.900002,124.910004
12127500,FB,124.879997,125.00,124.18,2016-08-12,124.879997,124.699997
11657500,FB,124.900002,125.379997,124.75,2016-08-11,124.900002,125.199997
10634300,FB,124.879997,125.480003,124.540001,2016-08-10,124.879997,125.07
19444300,FB,125.059998,126.089996,124.529999,2016-08-09,125.059998,125.339996
15233900,FB,125.260002,125.449997,124.550003,2016-08-08,125.260002,125.25
20184000,FB,125.150002,125.839996,124.620003,2016-08-05,125.150002,124.980003
21066000,FB,124.360001,124.790001,122.510002,2016-08-04,124.360001,122.940002
18525300,FB,122.510002,123.919998,122.309998,2016-08-03,122.510002,123.089996
23968400,FB,123.089996,124.800003,122.07,2016-08-02,123.089996,124.059998
25006900,FB,124.309998,124.580002,122.860001,2016-08-01,124.309998,123.849998
35058800,FB,123.940002,125.839996,123.709999,2016-07-29,123.940002,124.650002
78955800,FB,125.00,128.330002,123.629997,2016-07-28,125.00,127.519997
52654200,FB,123.339996,125.00,121.510002,2016-07-27,123.339996,122.419998
17612000,FB,121.220001,122.07,120.75,2016-07-26,121.220001,122.00
18487400,FB,121.629997,121.849998,117.779999,2016-07-25,121.629997,121.389999
