volume,symbol,adj_close,high,low,date,close,open
108635400,SPY,215.820007,216.029999,213.440002,2016-09-21,215.820007,214.240005
69665300,SPY,213.419998,214.589996,213.380005,2016-09-20,213.419998,214.410004
80250500,SPY,213.410004,214.880005,213.029999,2016-09-19,213.410004,214.130005
155236400,SPY,213.369995,213.690002,212.570007,2016-09-16,213.369995,213.479996
134427900,SPY,214.197992,215.729996,212.75,2016-09-15,215.279999,212.960007
134185500,SPY,212.078693,214.699997,212.50,2016-09-14,213.149994,213.289993
182828800,SPY,212.158293,215.149994,212.50,2016-09-13,213.229996,214.839996
168110900,SPY,215.252662,216.809998,212.309998,2016-09-12,216.339996,212.389999
221589100,SPY,212.208044,217.029999,213.25,2016-09-09,213.279999,216.970001
74102900,SPY,217.411754,218.940002,218.149994,2016-09-08,218.509995,218.619995
76554900,SPY,217.909241,219.220001,218.300003,2016-09-07,219.009995,218.839996
56702100,SPY,217.929145,219.119995,217.860001,2016-09-06,219.029999,218.699997
79293900,SPY,217.272458,218.869995,217.699997,2016-09-02,218.369995,218.389999
97844200,SPY,216.297388,217.729996,216.029999,2016-09-01,217.389999,217.369995
85269500,SPY,216.287444,217.75,216.470001,2016-08-31,217.380005,217.610001
58114500,SPY,216.904323,218.589996,217.350006,2016-08-30,218.00,218.259995
70502200,SPY,217.262514,218.669998,217.399994,2016-08-29,218.360001,217.440002
122506300,SPY,216.197885,219.119995,216.25,2016-08-26,217.289993,217.919998
69224800,SPY,216.605828,218.190002,217.220001,2016-08-25,217.699997,217.399994
71728900,SPY,216.755083,218.910004,217.360001,2016-08-24,217.850006,218.800003
53399200,SPY,217.869449,219.600006,218.899994,2016-08-23,218.970001,219.25
61368800,SPY,217.431658,218.800003,217.830002,2016-08-22,218.529999,218.259995
75443000,SPY,217.441602,218.75,217.740005,2016-08-19,218.539993,218.309998
52989300,SPY,217.760001,218.899994,218.210007,2016-08-18,218.860001,218.339996
75134300,SPY,217.272458,218.529999,217.020004,2016-08-17,218.369995,218.00
53213600,SPY,216.86453,218.679993,217.960007,2016-08-16,217.960007,218.600006
49813500,SPY,217.988841,219.50,218.880005,2016-08-15,219.089996,218.889999
61313500,SPY,217.362017,218.710007,217.990005,2016-08-12,218.460007,218.289993
72504300,SPY,217.55105,218.940002,217.949997,2016-08-11,218.649994,218.259995
57941100,SPY,216.546132,218.399994,217.229996,2016-08-10,217.639999,218.309998
51251700,SPY,217.083411,218.759995,217.800003,2016-08-09,218.179993,218.130005
39906500,SPY,216.954074,218.520004,217.740005,2016-08-08,218.050003,218.399994
71892200,SPY,217.083411,218.229996,216.410004,2016-08-05,218.179993,216.410004
46585500,SPY,215.322318,216.779999,214.25,2016-08-04,216.410004,216.309998
53993600,SPY,215.093463,216.25,215.130005,2016-08-03,216.179993,215.479996
92295500,SPY,214.46664,216.830002,214.570007,2016-08-02,215.550003,216.649994
73311400,SPY,215.849653,217.649994,216.410004,2016-08-01,216.940002,217.190002
79519400,SPY,216.028741,217.539993,216.130005,2016-07-29,217.119995,216.460007
65035700,SPY,215.680509,217.110001,215.75,2016-07-28,216.770004,216.289993
84083900,SPY,215.431766,217.270004,215.619995,2016-07-27,216.520004,217.190002
70080500,SPY,215.660605,217.169998,215.759995,2016-07-26,216.75,216.529999
55873100,SPY,215.561102,217.059998,215.970001,2016-07-25,216.649994,217.00
62787500,SPY,216.148148,217.300003,216.100006,2016-07-22,217.240005,216.410004
67777300,SPY,215.183022,217.220001,215.75,2016-07-21,216.270004,216.960007
58159500,SPY,215.998893,217.369995,216.190002,2016-07-20,217.089996,216.190002
54345700,SPY,215.103422,216.229996,215.630005,2016-07-19,216.190002,215.919998
58725900,SPY,215.322318,216.600006,215.669998,2016-07-18,216.410004,215.970001
107155400,SPY,214.745231,217.009995,215.309998,2016-07-15,215.830002,216.779999
91230900,SPY,215.033767,216.669998,215.660004,2016-07-14,216.119995,216.399994
87324100,SPY,213.839801,215.449997,214.350006,2016-07-13,214.919998,215.440002
101275600,SPY,213.869649,215.300003,213.429993,2016-07-12,214.949997,214.529999
73633900,SPY,212.327436,214.070007,212.949997,2016-07-11,213.399994,213.190002
133971000,SPY,211.581206,212.940002,210.779999,2016-07-08,212.649994,211.050003
85593800,SPY,208.476892,210.649994,208.630005,2016-07-07,209.529999,209.869995
96021500,SPY,208.606244,209.800003,207.059998,2016-07-06,209.660004,207.830002
109803700,SPY,207.362526,209.080002,207.710007,2016-07-05,208.410004,208.949997
106055300,SPY,208.864931,210.490005,209.289993,2016-07-01,209.919998,209.479996
165021900,SPY,208.42714,209.539993,206.559998,2016-06-30,209.479996,207.210007
137328600,SPY,205.621322,206.929993,204.720001,2016-06-29,206.660004,204.839996
159382400,SPY,202.178705,203.229996,201.119995,2016-06-28,203.199997,201.479996
230775800,SPY,198.596808,201.600006,198.649994,2016-06-27,199.600006,201.589996
333444400,SPY,202.218513,210.850006,202.720001,2016-06-24,203.240005,203.630005
102731400,SPY,209.750458,210.869995,209.270004,2016-06-23,210.809998,209.809998
95560500,SPY,207.054087,209.50,207.929993,2016-06-22,208.100006,208.649994
72461700,SPY,207.392374,208.919998,207.779999,2016-06-21,208.440002,208.300003
82789600,SPY,206.805343,209.610001,207.75,2016-06-20,207.850006,208.820007
117055700,SPY,205.482026,207.199997,205.75,2016-06-17,206.520004,207.169998
149533100,SPY,206.250143,208.570007,205.589996,2016-06-16,208.369995,207.75
109124500,SPY,205.636455,209.360001,207.529999,2016-06-15,207.75,208.039993
125059300,SPY,205.923499,208.740005,206.919998,2016-06-14,208.039993,208.00
117751200,SPY,206.329331,210.369995,208.350006,2016-06-13,208.449997,209.360001
113829200,SPY,207.93286,210.860001,209.429993,2016-06-10,210.070007,210.460007
73786900,SPY,209.922406,212.220001,211.190002,2016-06-09,212.080002,211.509995
66170900,SPY,210.209449,212.520004,211.690002,2016-06-08,212.369995,211.839996
60974800,SPY,209.526466,212.339996,211.50,2016-06-07,211.679993,211.529999
64887000,SPY,209.199837,211.770004,210.509995,2016-06-06,211.350006,210.699997
101757100,SPY,208.140715,210.690002,208.860001,2016-06-03,210.279999,210.25
63044700,SPY,208.764311,210.929993,209.240005,2016-06-02,210.910004,209.800003
69936200,SPY,208.130822,210.479996,208.889999,2016-06-01,210.270004,209.119995
109879400,SPY,207.705189,210.690002,209.179993,2016-05-31,209.839996,210.559998
64211200,SPY,208.101129,210.25,209.470001,2016-05-27,210.240005,209.529999
55280700,SPY,207.210276,209.710007,208.970001,2016-05-26,209.339996,209.440002
76621400,SPY,207.150889,209.770004,207.869995,2016-05-25,209.279999,208.669998
93537800,SPY,205.75523,208.240005,206.139999,2016-05-24,207.869995,206.169998
58682600,SPY,203.122303,205.839996,204.990005,2016-05-23,205.210007,205.509995
104990400,SPY,203.399453,206.100006,204.860001,2016-05-20,205.490005,204.919998
115430500,SPY,202.122568,204.539993,202.779999,2016-05-19,204.199997,204.059998
123493400,SPY,202.825352,206.300003,203.630005,2016-05-18,204.910004,204.440002
114924900,SPY,202.765965,206.800003,204.229996,2016-05-17,204.850006,206.460007
77486800,SPY,204.676323,207.339996,204.889999,2016-05-16,206.779999,204.960007
96474600,SPY,202.676869,206.860001,204.380005,2016-05-13,204.759995,206.210007
89586300,SPY,204.45856,207.490005,205.369995,2016-05-12,206.559998,207.289993
81727000,SPY,204.399172,208.539993,206.50,2016-05-11,206.50,207.910004
77472200,SPY,206.329331,208.470001,206.639999,2016-05-10,208.449997,206.720001
74374900,SPY,203.795378,206.399994,205.360001,2016-05-09,205.889999,205.570007
89315000,SPY,203.627109,205.770004,203.880005,2016-05-06,205.720001,204.059998
67619200,SPY,202.884739,205.979996,204.470001,2016-05-05,204.970001,205.559998
92243800,SPY,202.924325,205.850006,204.419998,2016-05-04,205.009995,204.990005
106422100,SPY,204.062635,206.800003,205.279999,2016-05-03,206.160004,206.520004
62188000,SPY,205.854218,208.179993,206.410004,2016-05-02,207.970001,206.919998
142424100,SPY,204.230904,207.130005,205.029999,2016-04-29,206.330002,206.720001
97216200,SPY,205.339504,209.759995,206.960007,2016-04-28,207.449997,208.460007
77329400,SPY,207.220184,209.809998,208.050003,2016-04-27,209.350006,208.470001
75864200,SPY,206.794551,209.520004,208.360001,2016-04-26,208.919998,209.039993
66166500,SPY,206.487707,208.660004,207.539993,2016-04-25,208.610001,208.259995
99251700,SPY,206.844045,209.289993,207.910004,2016-04-22,208.970001,208.550003
85695000,SPY,206.844045,210.25,208.649994,2016-04-21,208.970001,210.119995
81100300,SPY,207.962554,210.919998,209.389999,2016-04-20,210.100006,209.949997
88316100,SPY,207.764576,210.199997,208.940002,2016-04-19,209.899994,209.740005
82531000,SPY,207.111302,209.279999,207.00,2016-04-18,209.240005,207.779999
75761600,SPY,205.666149,208.169998,207.399994,2016-04-15,207.779999,208.009995
65212900,SPY,205.893805,208.600006,207.600006,2016-04-14,208.009995,208.070007
96336400,SPY,205.883912,208.100006,206.839996,2016-04-13,208.00,207.00
115350600,SPY,203.825071,206.25,203.699997,2016-04-12,205.919998,204.220001
83757500,SPY,201.944407,206.070007,203.910004,2016-04-11,204.020004,205.25
95040600,SPY,202.419519,205.850006,203.869995,2016-04-08,204.50,205.339996
113859000,SPY,201.875112,206.419998,203.089996,2016-04-07,203.949997,205.139999
91839800,SPY,204.319984,206.490005,203.979996,2016-04-06,206.419998,204.190002
99662200,SPY,202.112676,206.259995,203.889999,2016-04-05,204.190002,204.669998
63497000,SPY,204.151716,207.070007,205.889999,2016-04-04,206.25,206.830002
114423500,SPY,204.814898,207.139999,203.979996,2016-04-01,206.919998,204.350006
94584100,SPY,203.429147,206.410004,205.330002,2016-03-31,205.520004,205.910004
86365300,SPY,203.92406,206.869995,205.589996,2016-03-30,206.020004,206.300003
92922900,SPY,203.033207,205.25,202.399994,2016-03-29,205.119995,202.759995
62408200,SPY,201.172343,203.860001,202.710007,2016-03-28,203.240005,203.610001
84360900,SPY,201.053554,203.160004,201.740005,2016-03-24,203.119995,202.00
81052500,SPY,201.14265,204.330002,203.009995,2016-03-23,203.210007,204.110001
97471900,SPY,202.478907,205.229996,203.570007,2016-03-22,204.559998,203.759995
72926700,SPY,202.587788,204.940002,203.800003,2016-03-21,204.669998,204.070007
138372400,SPY,202.300745,204.779999,203.800003,2016-03-18,204.380005,204.169998
134278500,SPY,201.508879,205.229996,202.770004,2016-03-17,204.630005,203.240005
129303200,SPY,200.238547,203.820007,201.550003,2016-03-16,203.339996,201.600006
93169100,SPY,199.086394,202.529999,201.050003,2016-03-15,202.169998,201.360001
73612000,SPY,199.411363,203.039993,201.770004,2016-03-14,202.50,202.160004
137964500,SPY,199.667391,202.809998,199.520004,2016-03-11,202.759995,201.259995
156838700,SPY,196.496503,201.070007,197.380005,2016-03-10,199.539993,199.960007
94801200,SPY,196.338955,199.789993,198.429993,2016-03-09,199.380005,199.360001
123974900,SPY,195.373892,199.919998,198.210007,2016-03-08,198.399994,199.320007
100219000,SPY,197.530491,201.070007,199.25,2016-03-07,200.589996,199.339996
129293600,SPY,197.372928,201.350006,199.029999,2016-03-04,200.429993,200.009995
95172200,SPY,196.732848,199.800003,198.110001,2016-03-03,199.779999,198.789993
102415000,SPY,195.964746,199.059998,197.25,2016-03-02,199.00,197.740005
141799700,SPY,195.088322,198.210007,194.449997,2016-03-01,198.110001,195.009995
125918100,SPY,190.607718,196.229996,193.330002,2016-02-29,193.559998,195.110001
129833700,SPY,192.11438,196.679993,194.899994,2016-02-26,195.089996,196.570007
110728300,SPY,192.557514,195.550003,192.830002,2016-02-25,195.539993,193.729996
150812200,SPY,190.253208,193.529999,189.320007,2016-02-24,193.199997,190.630005
111455300,SPY,189.386641,194.320007,192.179993,2016-02-23,192.320007,194.00
103640300,SPY,191.809111,194.949997,193.789993,2016-02-22,194.779999,193.869995
114793000,SPY,189.071514,192.179993,190.449997,2016-02-19,192.00,191.169998
102343000,SPY,189.160138,193.270004,191.720001,2016-02-18,192.089996,193.199997
136009500,SPY,189.938097,193.320007,191.009995,2016-02-17,192.880005,191.160004
120250700,SPY,186.885374,189.809998,187.630005,2016-02-16,189.779999,188.770004
127632400,SPY,183.783425,186.649994,183.960007,2016-02-12,186.630005,184.960007
219058900,SPY,180.070923,184.100006,181.089996,2016-02-11,182.860001,182.339996
148214100,SPY,182.444168,188.339996,185.119995,2016-02-10,185.270004,186.410004
184513100,SPY,182.601716,186.940002,183.199997,2016-02-09,185.429993,183.360001
191526700,SPY,182.591874,186.119995,182.800003,2016-02-08,185.419998,185.770004
180788300,SPY,185.083284,191.669998,187.199997,2016-02-05,187.949997,190.990005
139531800,SPY,188.677621,192.75,189.960007,2016-02-04,191.600006,190.710007
205054900,SPY,188.382194,191.779999,187.100006,2016-02-03,191.300003,191.410004
182564900,SPY,187.259582,191.970001,189.539993,2016-02-02,190.160004,191.960007
136061600,SPY,190.696341,194.580002,191.839996,2016-02-01,193.649994,192.529999
210529300,SPY,190.765281,193.880005,189.880005,2016-01-29,193.720001,190.020004
143798800,SPY,186.225595,190.199997,187.160004,2016-01-28,189.110001,189.960007
185681700,SPY,185.260546,191.559998,187.059998,2016-01-27,188.130005,189.580002
141036800,SPY,187.298966,190.529999,188.020004,2016-01-26,190.199997,188.419998
130371700,SPY,184.778015,190.149994,187.410004,2016-01-25,187.639999,189.919998
168319600,SPY,187.614092,190.759995,188.880005,2016-01-22,190.520004,189.779999
195772900,SPY,183.842507,188.869995,184.639999,2016-01-21,186.690002,186.210007
286547800,SPY,182.818362,187.50,181.020004,2016-01-20,185.649994,185.029999
195244400,SPY,185.191607,190.110001,186.199997,2016-01-19,188.059998,189.960007
324846400,SPY,184.94542,188.759995,185.520004,2016-01-15,187.809998,186.770004
240795600,SPY,189.002575,193.259995,187.660004,2016-01-14,191.929993,189.550003
221168900,SPY,185.949866,194.860001,188.380005,2016-01-13,188.830002,194.449997
172330500,SPY,190.706199,194.550003,191.139999,2016-01-12,193.660004,193.820007
187941300,SPY,189.179837,193.410004,189.820007,2016-01-11,192.110001,193.009995
209817200,SPY,188.992733,195.850006,191.580002,2016-01-08,191.919998,195.190002
213436100,SPY,191.090249,197.440002,193.589996,2016-01-07,194.050003,195.330002
152112600,SPY,195.787499,200.059998,197.600006,2016-01-06,198.820007,198.339996
