volume,symbol,adj_close,high,low,date,close,open
2629200,TSLA,205.220001,207.00,201.559998,2016-09-21,205.220001,206.369995
2408500,TSLA,204.639999,207.75,203.910004,2016-09-20,204.639999,206.850006
2297000,TSLA,206.339996,209.429993,205.00,2016-09-19,206.339996,207.00
3079900,TSLA,205.399994,205.699997,199.00,2016-09-16,205.399994,200.419998
3077200,TSLA,200.419998,202.520004,196.399994,2016-09-15,200.419998,196.490005
2254500,TSLA,196.410004,197.919998,194.860001,2016-09-14,196.410004,195.75
3571200,TSLA,196.050003,198.490005,193.449997,2016-09-13,196.050003,197.059998
3710900,TSLA,198.300003,201.369995,194.100006,2016-09-12,198.300003,195.00
3742900,TSLA,194.470001,199.919998,193.699997,2016-09-09,194.470001,199.089996
3370000,TSLA,197.360001,199.889999,196.360001,2016-09-08,197.360001,199.550003
3636900,TSLA,201.710007,206.50,200.710007,2016-09-07,201.710007,205.50
4383100,TSLA,202.830002,203.25,199.00,2016-09-06,202.830002,199.020004
5962700,TSLA,197.779999,203.199997,196.199997,2016-09-02,197.779999,202.330002
7925100,TSLA,200.770004,211.100006,200.50,2016-09-01,200.770004,209.009995
3269400,TSLA,212.009995,212.600006,208.649994,2016-08-31,212.009995,210.429993
3161200,TSLA,211.339996,216.110001,210.520004,2016-08-30,211.339996,216.110001
3257100,TSLA,215.199997,220.399994,215.00,2016-08-29,215.199997,220.149994
2225100,TSLA,219.990005,222.860001,218.820007,2016-08-26,219.990005,222.139999
1756800,TSLA,220.960007,223.800003,220.770004,2016-08-25,220.960007,223.110001
2564100,TSLA,222.619995,227.149994,222.220001,2016-08-24,222.619995,227.050003
4745400,TSLA,224.839996,228.490005,222.800003,2016-08-23,224.839996,224.320007
2060100,TSLA,222.929993,225.110001,222.679993,2016-08-22,222.929993,224.169998
1654500,TSLA,225.00,225.169998,222.529999,2016-08-19,225.00,223.539993
1699100,TSLA,223.509995,225.660004,222.289993,2016-08-18,223.509995,223.820007
1770700,TSLA,223.240005,224.830002,222.800003,2016-08-17,223.240005,224.330002
2247800,TSLA,223.610001,227.190002,223.410004,2016-08-16,223.610001,225.490005
2015800,TSLA,225.589996,229.50,224.929993,2016-08-15,225.589996,226.020004
1813500,TSLA,225.610001,226.649994,224.039993,2016-08-12,225.610001,225.410004
1875800,TSLA,224.910004,227.570007,223.410004,2016-08-11,224.910004,226.169998
2308400,TSLA,225.649994,229.869995,224.619995,2016-08-10,225.649994,228.240005
2193900,TSLA,229.080002,231.539993,226.649994,2016-08-09,229.080002,226.820007
2263600,TSLA,226.160004,229.600006,226.089996,2016-08-08,226.160004,228.00
3205200,TSLA,230.029999,232.00,227.399994,2016-08-05,230.029999,230.00
4147000,TSLA,230.610001,230.860001,222.050003,2016-08-04,230.610001,225.690002
