volume,symbol,adj_close,high,low,date,close,open
120700,%5eN225,16449.839844,16497.550781,16407.779297,2016-09-30,16449.839844,16474.449219
119000,%5eN225,16693.710938,16756.429688,16584.140625,2016-09-29,16693.710938,16606.300781
000,%5eN225,16465.400391,16515.839844,16385.029297,2016-09-28,16465.400391,16504.990234
152400,%5eN225,16683.929688,16683.929688,16285.410156,2016-09-27,16683.929688,16390.910156
000,%5eN225,16544.560547,16707.449219,16514.929688,2016-09-26,16544.560547,16707.449219
133900,%5eN225,16754.019531,16808.589844,16725.529297,2016-09-23,16754.019531,16759.839844
185400,%5eN225,16807.619141,16823.630859,16399.650391,2016-09-21,16807.619141,16471.849609
117900,%5eN225,16492.150391,16591.699219,16403.220703,2016-09-20,16492.150391,16403.220703
123300,%5eN225,16519.289062,16532.839844,16415.859375,2016-09-16,16519.289062,16458.740234
114300,%5eN225,16405.009766,16528.019531,16359.780273,2016-09-15,16405.009766,16512.419922
000,%5eN225,16614.240234,16706.609375,16585.800781,2016-09-14,16614.240234,16632.060547
95300,%5eN225,16729.039062,16787.060547,16658.400391,2016-09-13,16729.039062,16764.650391
000,%5eN225,16672.919922,16802.00,16601.539062,2016-09-12,16672.919922,16748.359375
120200,%5eN225,16965.759766,17029.779297,16902.089844,2016-09-09,16965.759766,16994.369141
108000,%5eN225,16958.769531,17001.839844,16836.650391,2016-09-08,16958.769531,16984.00
000,%5eN225,17012.439453,17024.199219,16903.199219,2016-09-07,17012.439453,16937.380859
105100,%5eN225,17081.980469,17097.589844,17022.640625,2016-09-06,17081.980469,17035.029297
123600,%5eN225,17037.630859,17156.359375,17009.210938,2016-09-05,17037.630859,17131.519531
112700,%5eN225,16925.679688,16946.490234,16848.119141,2016-09-02,16925.679688,16903.779297
127600,%5eN225,16926.839844,16941.179688,16864.560547,2016-09-01,16926.839844,16885.160156
145800,%5eN225,16887.400391,16917.859375,16836.960938,2016-08-31,16887.400391,16857.830078
100600,%5eN225,16725.359375,16752.160156,16677.849609,2016-08-30,16725.359375,16690.980469
000,%5eN225,16737.490234,16764.640625,16616.650391,2016-08-29,16737.490234,16631.060547
101500,%5eN225,16360.709961,16490.529297,16320.429688,2016-08-26,16360.709961,16485.550781
90100,%5eN225,16555.949219,16628.789062,16520.839844,2016-08-25,16555.949219,16580.150391
000,%5eN225,16597.300781,16648.070312,16544.390625,2016-08-24,16597.300781,16550.210938
104400,%5eN225,16497.359375,16663.640625,16452.009766,2016-08-23,16497.359375,16549.820312
000,%5eN225,16598.189453,16631.230469,16540.939453,2016-08-22,16598.189453,16599.259766
118200,%5eN225,16545.820312,16613.039062,16452.619141,2016-08-19,16545.820312,16558.380859
126500,%5eN225,16486.009766,16714.609375,16481.410156,2016-08-18,16486.009766,16649.910156
113900,%5eN225,16745.640625,16772.109375,16596.259766,2016-08-17,16745.640625,16596.259766
